player_id,talent_total_p96,talent_posterior_sd,weight_prior_league,weight_prior_season,weight_live_season,prior_season_rate,live_season_rate,prior_season_minutes,live_season_minutes,league_prior_rate,prior_source,talent_total_p96_low,talent_total_p96_high,slug,player_name,nationality,birth_date,current_team_name,current_team_abbreviation,sample_status,live_minutes,evidence_minutes,talent_percentile,talent_percentile_low,talent_percentile_high,talent_rank,in_live_season
xW5pxyxB5g,0.06668453753034397,0.0995234726061627,0.9710506319135537,0.028949368086446384,0.0,0.5750879999999999,,200.0,0.0,0.05152780060257464,prior_season_available,-0.09701700717179713,0.23038608223248508,david-bingham,David Bingham,USA,1989-10-19,Charlotte FC,CLT,limited,0.0,200.0,51.31557965236805,0.0,100.0,24.0,False
p6qb4pwM0G,0.062443344254104506,0.07040980218956337,0.4860232904049599,0.3057684884017684,0.20820822119327173,0.10192861952861951,0.029936729222520102,3564.0,2238.0,0.05152780060257464,prior_season_available,-0.05337047412234546,0.17825716263055447,rafael-cabral,Rafael Cabral,Brazil,1990-05-20,Real Salt Lake,RSL,qualified,2238.0,5802.0,49.3880561313985,2.9029128793919097,97.7090309892096,25.0,True
kRQa2LebMK,0.06213736179745653,0.07297416261438018,0.5220704030731441,0.29236351972575664,0.1855660772010992,0.2976872727272727,-0.2791279389312977,3410.0,1965.0,0.05152780060257464,prior_season_available,-0.05789445411990275,0.18216917771481583,dayne-st-clair,Dayne St. Clair,Canada,1997-05-09,Inter Miami CF,MIA,qualified,1965.0,5375.0,45.67486578429809,2.9029128793919097,97.7090309892096,26.0,True
Vj58WrY3M8,0.05419370340448396,0.09976753175393288,0.9758190422330965,0.0,0.024180957766903526,,0.161775824175824,0.0,182.0,0.05152780060257464,no_prior_season,-0.10990928287161397,0.21829668968058188,cabral-carter,Cabral Carter,USA,2004-07-05,Los Angeles FC,LAFC,limited,182.0,182.0,43.82873544889173,0.0,100.0,27.0,True
kRQa2L2LMK,0.054088562258549175,0.09651399916328636,0.913211676477231,0.060783871198351554,0.026004452324417435,0.4583111111111111,-0.8008301886792453,405.0,212.0,0.05152780060257464,prior_season_available,-0.10466283914133319,0.21283996365843155,evan-louro,Evan Louro,USA,1996-01-19,FC Cincinnati,CIN,limited,212.0,617.0,43.563293998830595,0.0,100.0,28.0,True
jYQJaDwkqG,0.05285138135133421,0.10040041201406906,0.9882386222757951,0.0,0.01176137772420494,,0.164064,0.0,100.0,0.05152780060257464,no_prior_season,-0.11229260031492425,0.21799536301759267,damian-las,Damian Las,USA,2002-04-11,Austin FC,ATX,limited,100.0,100.0,43.325094349651835,0.0,100.0,29.0,True
4JMAaogDMK,0.05248123231513793,0.09916845854551659,0.9641352428664872,0.02870486588143335,0.007159891252079477,-0.20407058823529406,1.2094153846153848,136.0,52.0,0.05152780060257464,prior_season_available,-0.11063636622237596,0.21559883085265183,jimmy-maurer,Jimmy Maurer,USA,1988-10-14,Houston Dynamo FC,HOU,limited,52.0,188.0,43.22941582947962,0.0,100.0,30.0,True
a35rymlLML,0.05221902823718316,0.08345424353419885,0.6827908343629504,0.020116690659551958,0.2970924749774977,-0.06244444444444444,0.06157171717171719,216.0,2376.0,0.05152780060257464,prior_season_available,-0.08505098677283437,0.1894890432472007,drake-callender,Drake Callender,USA,1997-10-07,Minnesota United FC,MIN,qualified,2376.0,2592.0,42.30585233615054,0.0,100.0,31.0,True
kRQa22wjMK,0.05118952427518754,0.08162126412861039,0.6531267423262815,0.3468732576737184,0.0,0.050552584670231715,,3366.0,0.0,0.05152780060257464,prior_season_available,-0.08306550791475238,0.18544455646512747,pedro-gallese,Pedro Gallese,Peru,1990-02-23,Orlando City SC,ORL,qualified,0.0,3366.0,41.44474565460054,0.0,97.7090309892096,32.0,False
vzqo721jqa,0.05093584549717758,0.09958387016839751,0.9722295877026121,0.0,0.02777041229738792,,0.03021176470588236,0.0,102.0,0.05152780060257464,no_prior_season,-0.11286504435415468,0.21473673534850984,mason-stajduhar,Mason Stajduhar,USA,1997-12-02,Real Salt Lake,RSL,limited,102.0,102.0,41.41085951203955,0.0,100.0,33.0,True
